20:36:34 write(1, "I [../src/deptran/s_main.cc:136]"..., 66) = 66
20:36:34 write(1, "I [../src/deptran/s_main.cc:284]"..., 84) = 84
20:36:34 write(1, "I [../src/deptran/s_main.cc:279]"..., 77) = 77
20:36:34 write(1, "I [../src/deptran/config.cc:285]"..., 94) = 94
20:36:34 write(1, "I [../src/deptran/config.cc:285]"..., 88) = 88
20:36:34 write(1, "I [../src/deptran/config.cc:404]"..., 76) = 76
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:408]"..., 91) = 91
20:36:34 write(1, "I [../src/deptran/config.cc:409]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:421]"..., 87) = 87
20:36:34 write(1, "I [../src/deptran/config.cc:285]"..., 82) = 82
20:36:34 write(1, "I [../src/deptran/config.cc:661]"..., 73) = 73
20:36:34 write(1, "I [../src/deptran/config.cc:285]"..., 93) = 93
20:36:34 write(1, "I [../src/deptran/config.cc:321]"..., 88) = 88
20:36:34 write(1, "I [../src/deptran/s_main.cc:290]"..., 78) = 78
20:36:34 write(1, "I [../src/deptran/config.cc:909]"..., 83) = 83
20:36:34 write(1, "I [../src/deptran/config.cc:910]"..., 98) = 98
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/s_main.cc:30] "..., 81) = 81
20:36:34 write(1, "I [../src/deptran/config.cc:909]"..., 83) = 83
20:36:34 write(1, "I [../src/deptran/config.cc:910]"..., 98) = 98
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/config.cc:913]"..., 96) = 96
20:36:34 write(1, "I [../src/deptran/config.cc:919]"..., 109) = 109
20:36:34 write(1, "I [../src/deptran/s_main.cc:75] "..., 93) = 93
20:36:37 write(1, "I [../src/deptran/s_main.cc:110]"..., 93) = 93
20:36:37 write(1, "I [../src/deptran/s_main.cc:114]"..., 98) = 98
20:36:37 write(1, "I [../src/deptran/s_main.cc:121]"..., 95) = 95
20:36:37 write(1, "I [../src/deptran/s_main.cc:54] "..., 93) = 93
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 86) = 86
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 86) = 86
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "\n", 1)              = 1
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:36:37 write(1, "I [../src/deptran/communicator.c"..., 111) = 111
20:38:17 write(1, "I [../src/deptran/s_main.cc:140]"..., 110) = 110
20:38:22 write(1, "I [../src/deptran/s_main.cc:323]"..., 87) = 87
20:38:22 +++ exited with 0 +++
